*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 07, 2014; 01:51:49
                                                                                
*RUN   1        : 0 N check plot            SGCER045 ITHY8001    1              
 MODEL          : SGCER045 - Grain sorghum                                      
 EXPERIMENT     : ITHY8001 SG ICRISAT ALFISOL N 1980 EXPT 80-1                  
 DATA PATH      :                                                               
 TREATMENT  1   : 0 N check plot            SGCER045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172     0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1980 258    94     0     1     1.5   57.5   52.8    4.7    0.25    0.27    0.27    0.28    0.27    0.27    0.46    4.16    3.35    2.39    0.07    0.18    0.03    0.17    0.14    0.15    0.15    0.28    0.16    0.14   24.80   72.35    0.41   13.56    0.00   11.25   93.77
 1980 259    95     0     1     1.5   57.2   52.5    4.7    0.29    0.28    0.27    0.27    0.27    0.27    0.38    4.14    3.35    2.39    0.08    0.19    0.03    0.17    0.14    0.14    0.15    0.28    0.16    0.14   25.13   72.67    0.41   13.61    0.00   11.52   94.32
 1980 260    96     0     1     1.5   56.9   52.3    4.6    0.25    0.30    0.28    0.27    0.26    0.27    0.33    4.12    3.35    2.40    0.08    0.19    0.03    0.16    0.13    0.14    0.14    0.28    0.16    0.14   25.46   73.01    0.41   13.67    0.00   11.79   94.89
 1980 261    97     0     1     1.5   56.6   52.0    4.6    0.19    0.28    0.30    0.28    0.26    0.26    0.28    4.09    3.36    2.40    0.09    0.19    0.04    0.16    0.13    0.13    0.14    0.28    0.16    0.14   25.75   73.29    0.41   13.72    0.00   12.03   95.45
 1980 262    98     0     1     1.5   56.4   51.9    4.5    0.13    0.22    0.25    0.31    0.28    0.26    0.28    4.07    3.36    2.40    0.10    0.20    0.04    0.15    0.12    0.13    0.14    0.27    0.15    0.13   26.02   73.56    0.41   13.76    0.00   12.25   95.89
 1980 263    99     0     1     1.5   56.2   51.6    4.5    0.16    0.22    0.24    0.25    0.29    0.26    0.28    4.05    3.36    2.40    0.10    0.21    0.04    0.16    0.12    0.13    0.14    0.27    0.15    0.13   26.29   73.80    0.42   13.81    0.00   12.48   96.35
 1980 264   100     0     1     1.5   56.1   51.6    4.5    0.21    0.23    0.25    0.26    0.27    0.26    0.28    4.02    3.36    2.40    0.09    0.21    0.05    0.16    0.12    0.12    0.13    0.27    0.15    0.13   26.59   74.09    0.42   13.86    0.00   12.73   96.67
 1980 265   101     0     1     1.5   56.0   51.6    4.4    0.24    0.25    0.25    0.26    0.28    0.26    0.28    4.00    3.36    2.41    0.09    0.21    0.05    0.17    0.12    0.12    0.13    0.26    0.15    0.13   26.89   74.37    0.42   13.91    0.00   12.98   96.97
 1980 266   102     0     1     1.5   56.0   51.6    4.4    0.20    0.28    0.31    0.28    0.27    0.26    0.28    3.98    3.36    2.41    0.08    0.21    0.05    0.16    0.12    0.11    0.13    0.26    0.15    0.13   27.20   74.71    0.42   13.96    0.00   13.24   97.28
 1980 267   103     0     1     1.5   55.8   51.4    4.3    0.23    0.25    0.24    0.27    0.28    0.26    0.28    3.96    3.36    2.41    0.09    0.22    0.05    0.16    0.12    0.11    0.13    0.25    0.15    0.13   27.49   74.98    0.43   14.01    0.00   13.48   97.73
 1980 268   104     0     1     1.5   55.4   51.1    4.3    0.22    0.28    0.28    0.28    0.26    0.26    0.28    3.89    3.36    2.41    0.08    0.22    0.05    0.16    0.12    0.11    0.12    0.25    0.15    0.13   27.80   75.30    0.43   14.06    0.00   13.74   98.33
 1980 269   105     0     1     1.5   54.9   50.7    4.3    0.24    0.25    0.25    0.27    0.28    0.26    0.28    3.80    3.36    2.41    0.09    0.22    0.05    0.16    0.12    0.10    0.12    0.25    0.14    0.13   28.09   75.57    0.44   14.11    0.00   13.98   99.08
 1980 270   106     0     1     1.5   54.3   50.1    4.2    0.31    0.27    0.25    0.28    0.27    0.26    0.28    3.67    3.36    2.42    0.08    0.22    0.05    0.15    0.12    0.10    0.12    0.24    0.14    0.13   28.40   75.89    0.44   14.16    0.00   14.24   99.96
 1980 271   107     0     1     1.5   53.5   49.4    4.1    0.33    0.28    0.27    0.27    0.26    0.26    0.29    3.52    3.35    2.42    0.07    0.22    0.05    0.15    0.12    0.10    0.11    0.24    0.14    0.13   28.72   76.23    0.44   14.22    0.00   14.50  101.02
 1980 272   108     0     1     1.5   52.6   48.6    4.0    0.34    0.29    0.28    0.27    0.26    0.26    0.29    3.37    3.34    2.42    0.04    0.21    0.04    0.15    0.12    0.09    0.11    0.23    0.14    0.13   29.04   76.60    0.44   14.27    0.00   14.77  102.18
 1980 273   109     0     1     1.5   51.7   47.7    3.9    0.32    0.31    0.27    0.27    0.26    0.26    0.28    3.22    3.32    2.42    0.04    0.18    0.03    0.14    0.12    0.09    0.11    0.23    0.14    0.12   29.35   76.96    0.44   14.32    0.00   15.03  103.37
 1980 274   110     0     1     1.5   50.7   46.9    3.8    0.30    0.30    0.27    0.27    0.26    0.26    0.26    3.08    3.30    2.42    0.03    0.17    0.03    0.14    0.11    0.09    0.10    0.23    0.14    0.12   29.64   77.31    0.44   14.37    0.00   15.27  104.57
 1980 275   111     0     1     1.5   49.8   46.1    3.7    0.29    0.30    0.27    0.27    0.26    0.26    0.26    2.95    3.27    2.43    0.03    0.15    0.03    0.13    0.11    0.08    0.10    0.22    0.14    0.12   29.92   77.65    0.44   14.42    0.00   15.50  105.70
 1980 276   112     0     1     1.5   48.9   45.3    3.6    0.29    0.29    0.27    0.27    0.26    0.26    0.26    2.82    3.24    2.43    0.02    0.14    0.02    0.13    0.10    0.08    0.10    0.22    0.14    0.12   30.18   77.96    0.44   14.46    0.00   15.72  106.80
 1980 277   113     0     1     1.5   48.0   44.5    3.5    0.28    0.29    0.26    0.27    0.26    0.26    0.26    2.70    3.20    2.43    0.02    0.13    0.02    0.12    0.10    0.08    0.10    0.21    0.13    0.12   30.42   78.26    0.44   14.50    0.00   15.93  107.89
 1980 278   114     0     1     1.5   47.1   43.7    3.4    0.27    0.28    0.26    0.26    0.26    0.26    0.26    2.57    3.16    2.44    0.02    0.12    0.02    0.11    0.09    0.08    0.09    0.21    0.13    0.12   30.65   78.54    0.44   14.54    0.00   16.12  108.98

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 07, 2014; 01:51:49
                                                                                
*RUN   2        : 80 kg Urea-N Incorporated SGCER045 ITHY8001    2              
 MODEL          : SGCER045 - Grain sorghum                                      
 EXPERIMENT     : ITHY8001 SG ICRISAT ALFISOL N 1980 EXPT 80-1                  
 DATA PATH      :                                                               
 TREATMENT  2   : 80 kg Urea-N Incorporated SGCER045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172     0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1980 164     0     0     0     0.0  129.4   69.1   60.3    1.80    1.80    1.80    4.50    4.50    5.00    5.00    2.00    0.70    0.60    2.50    2.50    2.50    3.00    3.00    3.50    3.50    2.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1980 165     1     0     0     0.0  129.5   78.9   50.6    4.29    2.51    3.29    4.96    4.93    5.47    5.45    2.06    0.73    0.63    0.00    1.79    1.01    2.55    2.57    3.04    3.06    1.94    0.97    0.97    0.26    9.83    0.00    0.20    0.00    0.06    0.00
 1980 166     2     0     0     0.0  129.5   84.5   45.0    4.32    2.97    3.85    5.32    5.29    5.86    5.83    2.12    0.76    0.65    0.00    1.32    0.44    2.19    2.22    2.65    2.69    1.88    0.95    0.95    0.51   15.42    0.00    0.38    0.00    0.12    0.00
 1980 167     3     0     0     0.0  129.6   88.8   40.7    1.26    3.89    5.42    5.62    5.58    6.19    6.15    2.17    0.78    0.68    0.00    0.98    0.20    1.89    1.93    2.33    2.37    1.83    0.92    0.92    0.90   19.81    0.00    0.75    0.00    0.15    0.00
 1980 168     4     0     0     0.0  129.6   92.2   37.3    1.10    3.15    4.99    6.98    5.79    6.44    6.32    2.20    0.80    0.70    0.00    0.82    0.08    1.64    1.69    2.06    2.10    1.78    0.90    0.90    1.48   23.23    0.00    1.33    0.00    0.15    0.00
 1980 169     5     0     0     0.0  129.6   94.9   34.6    1.43    3.08    5.06    7.32    5.97    6.64    6.46    2.24    0.82    0.72    0.00    0.72    0.07    1.44    1.49    1.83    1.88    1.73    0.87    0.88    2.02   25.96    0.00    1.85    0.00    0.17    0.00
 1980 170     6     0     0     0.0  129.6   97.3   32.4    2.19    3.08    5.07    7.65    6.08    6.76    6.48    2.25    0.84    0.74    0.00    0.61    0.07    1.29    1.33    1.65    1.69    1.69    0.85    0.86    2.57   28.30    0.00    2.37    0.00    0.20    0.00
 1980 171     7     0     0     0.0  129.6   99.4   30.2    3.20    3.21    5.29    7.76    6.21    6.85    6.45    2.26    0.86    0.76    0.00    0.48    0.06    1.15    1.19    1.48    1.52    1.64    0.83    0.84    3.15   30.49    0.00    2.92    0.00    0.23    0.00
 1980 172     8     0     0     0.0  129.7  101.5   28.2    4.28    3.44    5.56    7.80    6.28    6.92    6.40    2.27    0.87    0.77    0.00    0.33    0.05    1.02    1.06    1.33    1.37    1.60    0.81    0.82    3.70   32.56    0.00    3.43    0.00    0.27    0.00
 1980 173     9     0     0     0.0  129.7  103.4   26.4    5.47    3.63    5.84    7.80    6.33    6.97    6.35    2.28    0.89    0.79    0.00    0.23    0.04    0.91    0.94    1.19    1.23    1.56    0.79    0.80    4.21   34.46    0.00    3.88    0.00    0.32    0.00
 1980 174    10     0     0     0.0  129.8  105.2   24.6    6.74    3.80    6.10    7.79    6.38    7.01    6.28    2.29    0.90    0.80    0.00    0.15    0.03    0.80    0.83    1.06    1.10    1.52    0.77    0.78    4.68   36.29    0.00    4.30    0.00    0.38    0.00
 1980 175    11     0     0     0.0  129.9  106.9   22.9    6.79    3.84    6.11    7.90    6.49    7.14    6.42    2.33    0.92    0.82    0.00    0.09    0.02    0.70    0.72    0.93    0.97    1.47    0.75    0.75    5.16   38.03    0.00    4.71    0.00    0.46    0.00
 1980 176    12     0     0     0.0  129.9  108.5   21.5    6.83    3.85    6.12    7.99    6.59    7.26    6.54    2.38    0.94    0.85    0.00    0.06    0.02    0.61    0.63    0.82    0.86    1.43    0.73    0.73    5.62   39.59    0.00    5.09    0.00    0.54    0.01
 1980 177    13     0     0     0.0  130.0  109.8   20.2    6.87    3.85    6.12    8.07    6.67    7.36    6.64    2.42    0.96    0.87    0.00    0.04    0.02    0.53    0.55    0.72    0.76    1.39    0.71    0.71    6.06   40.98    0.00    5.43    0.00    0.63    0.05
 1980 178    14     0     0     0.0  130.0  110.9   19.1    6.91    3.84    6.11    8.13    6.74    7.45    6.73    2.46    0.98    0.88    0.00    0.03    0.02    0.47    0.48    0.64    0.68    1.35    0.69    0.70    6.46   42.17    0.00    5.73    0.00    0.73    0.10
 1980 179    15     0     0     0.0  130.0  111.9   18.2    6.93    3.82    6.10    8.17    6.80    7.52    6.81    2.49    1.00    0.90    0.00    0.02    0.02    0.42    0.43    0.58    0.61    1.31    0.67    0.68    6.92   43.23    0.00    6.10    0.00    0.82    0.19
 1980 180    16     0     0     0.0  130.0  112.7   17.3    6.94    3.80    6.08    8.20    6.85    7.59    6.88    2.53    1.02    0.92    0.00    0.02    0.02    0.38    0.38    0.52    0.55    1.27    0.66    0.66    7.36   44.21    0.00    6.43    0.00    0.92    0.32
 1980 181    17     0     0     0.0  130.0  113.5   16.5    6.96    3.78    6.07    8.24    6.90    7.65    6.94    2.57    1.04    0.94    0.00    0.02    0.02    0.34    0.34    0.46    0.50    1.24    0.64    0.64    7.77   45.12    0.00    6.74    0.00    1.03    0.42
 1980 182    18     0     0     0.0  130.0  114.2   15.8    6.98    3.76    6.05    8.26    6.94    7.70    7.00    2.60    1.05    0.95    0.00    0.03    0.02    0.31    0.30    0.42    0.45    1.21    0.62    0.63    8.16   45.97    0.00    7.02    0.00    1.15    0.55
 1980 183    19     0     0     0.0  130.0  114.9   15.1    2.61    5.20    6.80    8.42    6.98    7.75    7.05    2.63    1.07    0.97    0.00    0.03    0.02    0.28    0.27    0.38    0.41    1.17    0.61    0.61    8.55   46.78    0.00    7.28    0.00    1.27    0.66
 1980 184    20     0     0     0.0  130.0  115.5   14.5    2.70    4.89    7.16    8.67    6.97    7.74    6.99    2.65    1.08    0.98    0.01    0.03    0.03    0.25    0.24    0.34    0.37    1.14    0.59    0.60    8.93   47.50    0.00    7.54    0.00    1.40    0.79
 1980 185    21    80     1     0.0  165.1  116.1   49.0    2.64    4.69    7.15    8.87    7.07    7.74    6.97    2.67    1.10    1.00   43.52    0.04    0.03    0.23    0.22    0.31    0.34    1.11    0.58    0.58    9.28   48.16    0.00    7.76    0.00    1.52    0.87
 1980 186    22    80     1     0.0  185.2  129.1   56.0   18.66    4.39    6.56    8.52    7.94    7.73    6.92    2.68    1.11    1.01   52.83    0.04    0.04    0.23    0.20    0.29    0.31    1.08    0.56    0.57    9.60   61.24    0.00    8.06    0.00    1.54    1.04
 1980 187    23    80     1     0.0  195.0  158.2   36.9   55.59    4.32    6.44    8.37    8.17    7.64    6.75    2.67    1.11    1.02   28.28    0.67    0.04    0.22    0.18    0.27    0.29    1.06    0.55    0.55    9.95   90.73    0.00    8.49    0.00    1.47    1.94
 1980 188    24    80     1     0.0  200.2  179.7   20.6   83.17    4.42    6.56    8.32    8.09    7.54    6.57    2.66    1.12    1.02    8.11    0.86    0.07    0.21    0.17    0.25    0.27    1.03    0.54    0.54   10.30  112.89    0.02    8.87    0.00    1.43    2.82
 1980 189    25    80     1     0.0  202.9  186.1   16.8   89.59    5.71    6.66    8.24    8.02    7.46    6.42    2.65    1.13    1.03    4.00    0.79    0.07    0.20    0.16    0.23    0.25    1.01    0.53    0.53   10.64  120.09    0.02    9.24    0.00    1.40    3.63
 1980 190    26    80     1     0.0  203.6  189.1   14.5   94.42    5.73    6.74    8.14    7.94    7.37    6.28    2.64    1.13    1.04    1.82    0.70    0.06    0.18    0.15    0.21    0.23    0.98    0.51    0.52   11.00  124.28    0.02    9.64    0.00    1.35    4.82
 1980 191    27    80     1     0.0  203.6  190.6   13.0   95.65    5.85    6.70    8.12    7.94    7.39    6.31    2.67    1.15    1.05    0.81    0.56    0.04    0.17    0.14    0.19    0.21    0.96    0.50    0.50   11.35  126.80    0.02   10.01    0.00    1.34    5.89
 1980 192    28    80     1     0.0  202.7  190.7   12.0   95.39    5.92    6.64    8.08    7.93    7.41    6.33    2.69    1.16    1.06    0.29    0.43    0.03    0.16    0.13    0.18    0.20    0.93    0.49    0.49   11.70  128.38    0.02   10.34    0.00    1.36    7.40
 1980 193    29    80     1     0.0  201.4  190.1   11.4   94.50    5.94    6.57    8.03    7.90    7.42    6.35    2.72    1.17    1.08    0.15    0.33    0.03    0.16    0.12    0.16    0.18    0.91    0.48    0.48   12.03  129.32    0.02   10.64    0.00    1.39    8.95
 1980 194    30    80     1     0.0  200.3  189.5   10.8   87.10    9.23    6.51    8.00    7.88    7.42    6.37    2.74    1.18    1.09    0.06    0.26    0.03    0.15    0.12    0.15    0.17    0.88    0.46    0.47   12.35  130.05    0.02   10.94    0.00    1.42   10.27
 1980 195    31    80     1     0.0  197.9  187.5   10.4   83.65    9.89    6.38    7.90    7.81    7.40    6.39    2.77    1.20    1.10    0.00    0.21    0.02    0.14    0.11    0.14    0.16    0.86    0.45    0.45   12.69  130.58    0.02   11.26    0.00    1.42   12.85
 1980 196    32    80     1     0.0  195.4  185.3   10.0   75.44   13.30    6.27    7.77    7.69    7.32    6.32    2.77    1.20    1.11    0.00    0.17    0.02    0.14    0.10    0.13    0.15    0.84    0.44    0.44   13.01  131.06    0.02   11.58    0.00    1.43   15.40
 1980 197    33    80     1     0.0  190.3  180.6    9.7   72.31   13.19    6.03    7.51    7.46    7.17    6.20    2.77    1.21    1.12    0.00    0.13    0.02    0.13    0.10    0.12    0.14    0.82    0.43    0.43   13.30  131.50    0.02   11.85    0.00    1.46   20.53
 1980 198    34    80     1     0.0  190.3  180.9    9.4   72.52   13.32    6.02    7.50    7.45    7.15    6.17    2.78    1.22    1.13    0.00    0.11    0.02    0.13    0.09    0.12    0.13    0.80    0.42    0.42   13.61  131.91    0.02   12.13    0.00    1.48   20.53
 1980 199    35    80     1     0.0  189.8  180.7    9.1   73.26   12.93    5.98    7.47    7.42    7.12    6.14    2.79    1.23    1.13    0.00    0.09    0.02    0.12    0.09    0.11    0.12    0.78    0.41    0.41   13.90  132.29    0.02   12.39    0.00    1.51   21.07
 1980 200    36    80     1     0.0  184.3  175.4    8.9   69.84   12.28    5.72    7.24    7.21    7.02    6.10    2.81    1.24    1.14    0.00    0.07    0.02    0.12    0.09    0.11    0.12    0.76    0.40    0.40   14.16  132.65    0.02   12.60    0.00    1.55   26.69
 1980 201    37    80     1     0.0  178.4  169.8    8.6   66.34   11.62    5.46    7.00    6.98    6.89    6.04    2.83    1.25    1.15    0.00    0.06    0.02    0.11    0.08    0.10    0.11    0.74    0.39    0.39   14.39  133.01    0.02   12.78    0.00    1.61   32.60
 1980 202    38    80     1     0.0  174.1  165.8    8.4   63.87   11.14    5.26    6.83    6.81    6.79    5.98    2.85    1.26    1.16    0.00    0.05    0.01    0.11    0.08    0.10    0.11    0.72    0.38    0.38   14.61  133.35    0.02   12.92    0.00    1.68   36.95
 1980 203    39    80     1     0.0  174.2  166.1    8.1   64.01   11.08    5.26    6.84    6.81    6.80    5.99    2.87    1.27    1.17    0.00    0.05    0.01    0.10    0.08    0.09    0.10    0.70    0.37    0.37   14.82  133.68    0.02   13.07    0.00    1.75   36.95
 1980 204    40    80     1     0.0  171.1  163.2    7.9   39.11   22.30    5.13    6.71    6.69    6.73    5.94    2.89    1.28    1.18    0.00    0.04    0.01    0.10    0.07    0.09    0.10    0.68    0.36    0.36   15.05  134.00    0.02   13.24    0.00    1.81   40.12
 1980 205    41    80     1     0.0  166.2  158.5    7.7   17.96   21.74   17.49    6.91    6.46    6.56    5.80    2.89    1.28    1.19    0.02    0.03    0.01    0.09    0.07    0.08    0.10    0.67    0.36    0.36   15.30  134.31    0.02   13.40    0.00    1.90   45.13
 1980 206    42    80     1     0.0  166.3  158.8    7.5   15.97   21.13   18.77    7.45    6.45    6.56    5.79    2.91    1.29    1.20    0.05    0.03    0.02    0.09    0.07    0.08    0.09    0.65    0.35    0.35   15.54  134.59    0.02   13.53    0.00    2.01   45.13
 1980 207    43    80     1     0.0  165.0  157.7    7.4    9.98   18.47   19.79   10.37    6.39    6.52    5.75    2.92    1.30    1.21    0.08    0.03    0.02    0.09    0.06    0.08    0.09    0.63    0.34    0.34   15.77  134.86    0.02   13.65    0.00    2.13   46.49
 1980 208    44    80     1     0.0  164.2  157.0    7.2    6.45   15.53   18.54   13.24    6.94    6.48    5.73    2.93    1.31    1.21    0.10    0.03    0.03    0.09    0.06    0.08    0.09    0.62    0.33    0.33   15.99  135.12    0.02   13.74    0.00    2.24   47.42
 1980 209    45    80     1     0.0  159.4  152.3    7.1    6.16   14.05   17.52   12.97    7.11    6.30    5.57    2.94    1.31    1.22    0.11    0.04    0.03    0.09    0.06    0.07    0.08    0.60    0.32    0.32   16.19  135.35    0.05   13.83    0.00    2.37   52.32
 1980 210    46    80     1     0.0  158.7  151.7    7.0    5.98   13.29   17.02   13.13    7.51    6.28    5.55    2.95    1.32    1.23    0.12    0.05    0.04    0.10    0.06    0.07    0.08    0.59    0.32    0.32   16.40  135.57    0.28   13.91    0.00    2.49   52.92
 1980 211    47    80     1     0.0  149.7  142.8    6.9    5.84   11.43   14.42   12.11    7.89    5.98    5.29    2.96    1.33    1.23    0.12    0.05    0.04    0.10    0.06    0.07    0.08    0.58    0.31    0.31   16.61  135.80    0.41   13.99    0.00    2.62   61.92
 1980 212    48    80     1     0.0  149.8  143.0    6.8    2.99    9.27   14.14   13.81    8.71    5.98    5.29    2.97    1.33    1.24    0.12    0.06    0.04    0.11    0.06    0.07    0.08    0.57    0.30    0.30   16.85  136.06    0.49   14.08    0.00    2.77   61.92
 1980 213    49    80     1     0.0  148.9  142.1    6.7    3.01    8.64   13.56   13.59    9.28    5.95    5.26    2.98    1.34    1.24    0.13    0.07    0.04    0.11    0.06    0.07    0.08    0.56    0.30    0.30   17.06  136.28    0.79   14.16    0.00    2.91   62.67
 1980 214    50    80     1     0.0  141.1  134.5    6.6    3.02    7.49   11.51   12.24    9.56    5.81    5.02    2.98    1.34    1.25    0.13    0.08    0.04    0.11    0.07    0.07    0.08    0.54    0.29    0.29   17.31  136.55    1.00   14.24    0.00    3.07   70.35
 1980 215    51    80     1     0.0  141.2  134.7    6.5    1.77    6.37   11.27   12.93   10.07    5.92    5.02    2.99    1.35    1.26    0.12    0.09    0.04    0.12    0.07    0.07    0.08    0.53    0.29    0.28   17.59  136.84    1.09   14.33    0.00    3.26   70.35
 1980 216    52    80     1     0.0  141.1  134.7    6.5    1.39    5.66   10.25   13.13   10.61    6.18    5.02    3.00    1.36    1.26    0.14    0.10    0.05    0.12    0.08    0.07    0.07    0.52    0.28    0.28   17.82  137.06    1.35   14.40    0.00    3.42   70.35
 1980 217    53    80     1     0.0  141.0  134.6    6.4    1.40    5.30    9.83   12.83   10.92    6.52    5.02    3.01    1.36    1.27    0.16    0.11    0.05    0.13    0.08    0.07    0.07    0.51    0.27    0.27   18.04  137.28    1.60   14.46    0.00    3.58   70.35
 1980 218    54    80     1     0.0  141.0  134.7    6.3    1.35    5.05    9.52   12.63   11.12    6.84    5.02    3.02    1.37    1.27    0.16    0.12    0.05    0.13    0.09    0.07    0.07    0.50    0.27    0.27   18.27  137.51    1.79   14.53    0.00    3.74   70.35
 1980 219    55    80     1     0.0  141.0  134.7    6.3    0.62    3.05    6.30   11.16   12.18    9.58    5.68    3.03    1.37    1.28    0.17    0.13    0.05    0.13    0.09    0.07    0.07    0.49    0.26    0.26   18.50  137.74    1.97   14.59    0.00    3.91   70.35
 1980 220    56    80     1     0.0  140.8  134.6    6.2    0.68    2.88    6.06   10.74   11.97    9.76    6.23    3.04    1.38    1.29    0.18    0.14    0.05    0.14    0.10    0.08    0.07    0.48    0.26    0.25   18.73  137.94    2.32   14.65    0.00    4.08   70.35
 1980 221    57    80     1     0.0  140.7  134.5    6.2    0.72    2.76    5.80   10.40   11.77    9.87    6.77    3.05    1.38    1.29    0.18    0.15    0.05    0.14    0.10    0.09    0.08    0.47    0.25    0.25   18.97  138.15    2.61   14.71    0.00    4.26   70.35
 1980 222    58    80     1     0.0  137.6  131.5    6.2    0.79    2.54    5.15    9.49   10.87    9.41    7.07    3.60    1.39    1.30    0.18    0.16    0.05    0.14    0.11    0.09    0.08    0.46    0.25    0.24   19.24  138.40    2.83   14.78    0.00    4.46   73.43
 1980 223    59    80     1     0.0  137.7  131.6    6.1    0.89    2.53    5.05    9.35   10.76    9.40    7.32    3.63    1.39    1.30    0.16    0.17    0.05    0.15    0.11    0.10    0.09    0.45    0.24    0.24   19.55  138.69    2.95   14.85    0.00    4.70   73.43
 1980 224    60    80     1     0.0  137.8  131.8    6.1    0.97    2.51    4.87    9.11   10.51    9.22    7.40    3.98    1.40    1.31    0.15    0.18    0.05    0.15    0.11    0.11    0.10    0.44    0.24    0.23   19.86  138.97    3.11   14.92    0.00    4.94   73.43
 1980 225    61    80     1     0.0  138.0  132.0    6.0    1.07    2.56    4.86    9.09   10.46    9.16    7.50    4.00    1.40    1.31    0.13    0.18    0.05    0.15    0.12    0.12    0.11    0.43    0.23    0.23   20.19  139.27    3.18   15.00    0.00    5.19   73.43
 1980 226    62    80     1     0.0  134.3  128.4    5.9    0.78    2.44    4.80    8.78   10.01    8.81    7.33    4.00    1.41    1.32    0.13    0.17    0.04    0.15    0.12    0.12    0.11    0.42    0.23    0.22   20.51  139.62    3.20   15.07    0.00    5.44   77.32
 1980 227    63    80     1     0.0  133.5  127.7    5.9    0.76    2.33    4.78    8.79    9.89    8.74    7.27    4.00    1.41    1.32    0.14    0.18    0.04    0.15    0.12    0.12    0.11    0.41    0.22    0.22   20.82  139.92    3.20   15.14    0.00    5.68   78.39
 1980 228    64    80     1     0.0  133.5  127.8    5.8    0.79    2.27    4.76    8.88    9.87    8.73    7.26    4.01    1.42    1.33    0.16    0.19    0.04    0.14    0.12    0.13    0.12    0.40    0.22    0.21   21.12  140.23    3.20   15.20    0.00    5.92   78.59
 1980 229    65    80     1     0.0  133.7  128.0    5.7    0.70    2.22    4.79    9.01    9.85    8.72    7.25    4.02    1.42    1.33    0.15    0.19    0.04    0.14    0.11    0.13    0.12    0.39    0.21    0.21   21.44  140.58    3.21   15.27    0.00    6.16   78.69
 1980 230    66    80     1     0.0  133.9  128.3    5.6    0.55    1.99    4.70    9.24    9.96    8.73    7.26    4.03    1.43    1.34    0.16    0.20    0.04    0.14    0.11    0.13    0.12    0.38    0.21    0.20   21.75  140.90    3.21   15.34    0.00    6.41   78.69
 1980 231    67    80     1     0.0  134.1  128.6    5.5    0.56    1.89    4.51    9.31   10.10    8.73    7.26    4.03    1.43    1.34    0.17    0.21    0.05    0.13    0.11    0.12    0.12    0.37    0.20    0.20   22.04  141.22    3.27   15.40    0.00    6.64   78.69
 1980 232    68    80     1     0.0  134.3  128.8    5.4    0.21    0.84    2.04    5.89    9.12   10.44   10.14    4.92    1.44    1.34    0.18    0.22    0.05    0.14    0.10    0.12    0.12    0.37    0.20    0.19   22.33  141.52    3.32   15.46    0.00    6.87   78.69
 1980 233    69    80     1     0.0  134.5  129.0    5.4    0.11    0.42    1.00    3.76    6.78    8.54    9.44    7.27    3.03    1.35    0.19    0.23    0.05    0.14    0.11    0.13    0.13    0.36    0.19    0.19   22.59  141.72    3.35   15.52    0.00    7.07   78.69
 1980 234    70    80     1     0.0  134.6  129.2    5.5    0.11    0.33    0.75    3.14    6.05    7.91    9.14    7.55    3.84    1.50    0.19    0.24    0.06    0.15    0.12    0.14    0.13    0.36    0.19    0.18   22.85  141.88    3.36   15.57    0.00    7.28   78.69
 1980 235    71    80     1     0.0  134.8  129.3    5.5    0.13    0.30    0.68    2.94    5.88    7.81    9.10    7.40    4.11    1.68    0.20    0.25    0.06    0.16    0.12    0.14    0.14    0.36    0.19    0.18   23.09  142.02    3.37   15.62    0.00    7.47   78.69
 1980 236    72    80     1     0.0  135.0  129.4    5.6    0.17    0.30    0.66    2.79    5.68    7.68    9.03    7.31    4.30    1.88    0.20    0.26    0.06    0.16    0.13    0.15    0.14    0.35    0.19    0.17   23.33  142.16    3.41   15.67    0.00    7.66   78.69
 1980 237    73    80     1     1.2  133.6  128.0    5.6    0.21    0.30    0.61    2.53    5.13    6.94    8.30    7.21    4.57    2.55    0.20    0.26    0.06    0.17    0.13    0.16    0.15    0.35    0.19    0.17   23.57  142.31    3.75   15.72    0.00    7.85   78.69
